Symbol,Date,Time,Close,Open,High,Low,Volume,Amount,MatchItem,Interest
SZ300276,20150429,141300,19.37,19.37,19.37,19.37,9400,182078,5,0
SZ300276,20150429,141400,19.37,19.37,19.37,19.37,202,3913,3,0
SZ300276,20150429,141500,19.37,19.37,19.37,19.37,100,1937,1,0
SZ300276,20150429,141600,19.37,19.37,19.37,19.37,4700,91039,2,0
SZ300276,20150429,141700,19.37,19.37,19.37,19.37,1300,25181,2,0
SZ300276,20150429,141800,19.37,19.37,19.37,19.37,400,7748,1,0
SZ300276,20150429,141900,19.37,19.37,19.37,19.37,100,1937,1,0
SZ300276,20150429,142200,19.37,19.37,19.37,19.37,2300,44551,3,0
SZ300276,20150429,142300,19.37,19.37,19.37,19.37,19800,383526,4,0
SZ300276,20150429,142400,19.37,19.37,19.37,19.37,2400,46488,2,0
SZ300276,20150429,142500,19.37,19.37,19.37,19.37,6100,118157,2,0
SZ300276,20150429,142600,19.37,19.37,19.37,19.37,3000,58110,2,0
SZ300276,20150429,142700,19.37,19.37,19.37,19.37,2300,44551,3,0
SZ300276,20150429,142800,19.37,19.37,19.37,19.37,6200,120094,6,0
SZ300276,20150429,142900,19.37,19.37,19.37,19.37,2100,40677,2,0
SZ300276,20150429,143000,19.37,19.37,19.37,19.37,20100,389337,2,0
SZ300276,20150429,143100,19.37,19.37,19.37,19.37,2500,48425,1,0
SZ300276,20150429,143200,19.37,19.37,19.37,19.37,2100,40677,2,0
SZ300276,20150429,143300,19.37,19.37,19.37,19.37,3000,58110,2,0
SZ300276,20150429,143700,19.37,19.37,19.37,19.37,1000,19370,2,0
SZ300276,20150429,143800,19.37,19.37,19.37,19.37,3900,75543,1,0
SZ300276,20150429,143900,19.37,19.37,19.37,19.37,2000,38740,1,0
SZ300276,20150429,144000,19.37,19.37,19.37,19.37,200,3874,1,0
SZ300276,20150429,144100,19.37,19.37,19.37,19.37,8700,168519,6,0
SZ300276,20150429,144200,19.37,19.37,19.37,19.37,1100,21307,2,0
SZ300276,20150429,144300,19.37,19.37,19.37,19.37,6504,125982,7,0
SZ300276,20150429,144400,19.37,19.37,19.37,19.37,7300,141401,4,0
SZ300276,20150429,144500,19.37,19.37,19.37,19.37,2600,50362,3,0
SZ300276,20150429,144600,19.37,19.37,19.37,19.37,1100,21307,2,0
SZ300276,20150429,144700,19.37,19.37,19.37,19.37,2100,40677,2,0
SZ300276,20150429,144900,19.37,19.37,19.37,19.37,800,15496,2,0
SZ300276,20150429,145000,19.37,19.37,19.37,19.37,900,17433,2,0
SZ300276,20150429,145100,19.37,19.37,19.37,19.37,400,7748,1,0
SZ300276,20150429,145200,19.37,19.37,19.37,19.37,400,7748,1,0
SZ300276,20150429,145300,19.37,19.37,19.37,19.37,2800,54236,2,0
SZ300276,20150429,145400,19.37,19.37,19.37,19.37,1900,36803,3,0
SZ300276,20150429,145500,19.37,19.37,19.37,19.37,3500,67795,5,0
SZ300276,20150429,145600,19.37,19.37,19.37,19.37,2800,54236,3,0
SZ300276,20150429,145900,19.37,19.37,19.37,19.37,16900,327353,16,0
